CensusTract,County Code,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractSeniorsProportion,TractWhite,TractBlack,TractBlackProportion,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
26001000100,26001,Michigan,Alcona County,0,1807,895,0,0,0.00,0,0,0,0,0,0,9.8,60924,1,1,0,0,0,1,0,0,1168,1168,NULL,468,468,NULL,1807,100.00,632,34.97,218,12.06,773,42.78,1783,98.67,0,0.00,5,0.28,0,0.00,5,0.28,14,0.77,23,1.27,29,3.19,57,6.38,1807,100.00,632,34.97,218,12.06,773,42.78,1783,98.67,0,0.00,5,0.28,0,0.00,5,0.28,14,0.77,23,1.27,29,3.19,57,6.38,1168,64.64,468,25.90,165,9.15,433,23.97,1150,63.64,0,0.00,4,0.22,0,0.00,3,0.17,11,0.61,20,1.11,22,2.44,35,3.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,580,218,773,0.427780852,1783,0,0,5,0,5,14,23,28,57
26001970100,26001,Michigan,Alcona County,0,2549,1182,0,69,2.71,0,0,0,0,0,1,15.4,52273,0,0,0,0,0,0,0,0,195,195,NULL,55,55,NULL,2089,81.94,753,29.53,302,11.85,648,25.42,2037,79.92,2,0.08,8,0.32,1,0.04,22,0.86,19,0.73,22,0.87,47,3.95,110,9.29,1865,73.16,657,25.79,269,10.54,581,22.79,1822,71.49,1,0.04,7,0.26,1,0.04,19,0.74,15,0.60,20,0.78,40,3.41,97,8.25,195,7.64,55,2.17,27,1.06,69,2.69,193,7.57,0,0.00,1,0.04,0,0.00,0,0.00,1,0.04,1,0.04,3,0.28,10,0.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,867,376,788,0.30914084,2484,4,0.001569243,9,1,26,25,33,56,127
26001970400,26001,Michigan,Alcona County,0,3013,1282,0,44,1.46,0,0,0,0,0,1,19.4,46713,0,0,0,0,0,0,0,0,6,6,NULL,3,3,NULL,2809,93.22,1275,42.32,518,17.21,637,21.15,2743,91.06,3,0.10,7,0.23,0,0.00,18,0.59,37,1.24,34,1.14,62,4.85,244,19.05,2520,83.63,1129,37.48,464,15.42,566,18.80,2459,81.62,3,0.10,7,0.23,0,0.00,17,0.57,33,1.11,26,0.86,55,4.29,217,16.94,6,0.21,3,0.08,0,0.00,3,0.10,6,0.20,0,0.00,0,0.00,0,0.00,0,0.00,1,0.02,0,0.00,0,0.01,1,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1276,552,706,0.234317956,2941,4,0.00132758,7,0,18,43,36,67,262
26001970500,26001,Michigan,Alcona County,0,2092,1020,0,6,0.29,0,0,0,0,0,1,18.6,43750,0,0,0,0,0,0,0,0,340,340,NULL,148,148,NULL,2057,98.34,849,40.58,250,11.93,670,32.03,2015,96.34,4,0.19,2,0.10,0,0.00,7,0.33,29,1.38,16,0.76,27,2.64,186,18.25,1930,92.27,797,38.09,238,11.37,623,29.78,1895,90.61,4,0.19,2,0.10,0,0.00,6,0.30,23,1.08,15,0.70,25,2.50,174,17.01,340,16.26,148,7.10,37,1.76,102,4.89,333,15.91,1,0.05,1,0.05,0,0.00,1,0.07,4,0.19,1,0.06,4,0.37,32,3.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,808,253,683,0.326481836,2049,4,0.001912046,2,0,7,30,16,28,191
26001970600,26001,Michigan,Alcona County,0,1481,710,0,8,0.54,0,0,0,0,0,1,14.2,49766,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1462,98.70,568,38.32,190,12.86,488,32.94,1437,97.00,1,0.07,2,0.14,0,0.00,10,0.68,12,0.82,15,1.04,22,3.09,90,12.67,1437,97.06,558,37.68,187,12.60,484,32.67,1413,95.44,1,0.07,2,0.14,0,0.00,10,0.68,11,0.74,15,0.99,22,3.05,89,12.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,561,194,491,0.331532748,1455,1,0.000675219,2,0,10,13,16,21,87
26003000100,26003,Michigan,Alger County,0,3869,1734,0,151,3.90,1,1,1,1,0,1,10.8,52895,1,1,1,0,0,1,1,1,631,631,515,277,277,229,2974,76.87,1158,29.92,520,13.45,785,20.28,2678,69.22,6,0.15,6,0.16,0,0.00,180,4.65,104,2.69,37,0.95,72,4.18,161,9.28,2591,66.98,1035,26.75,452,11.67,654,16.90,2329,60.21,4,0.11,6,0.16,0,0.00,160,4.15,91,2.36,31,0.80,61,3.52,144,8.32,631,16.30,277,7.17,62,1.60,249,6.45,594,15.34,2,0.05,3,0.08,0,0.00,12,0.31,20,0.52,8,0.21,7,0.40,45,2.60,515,13.31,229,5.92,42,1.09,221,5.70,493,12.74,2,0.05,3,0.08,0,0.00,4,0.10,13,0.34,7,0.18,5,0,39,2.27,1253,688,1007,0.260273973,3485,8,0.002067718,18,0,215,143,46,81,155
26003000200,26003,Michigan,Alger County,0,2742,1228,0,24,0.88,0,0,0,0,0,0,13.3,66875,0,0,0,0,0,0,0,0,236,236,NULL,64,64,NULL,2332,85.05,712,25.97,428,15.60,449,16.38,2145,78.21,8,0.28,4,0.13,0,0.00,100,3.64,76,2.79,27,0.99,74,6.05,121,9.86,1926,70.25,582,21.23,334,12.19,380,13.86,1784,65.07,6,0.22,2,0.06,0,0.00,69,2.53,65,2.37,23,0.85,58,4.76,100,8.18,236,8.60,64,2.35,27,0.97,65,2.37,228,8.31,0,0.00,0,0.00,0,0.00,2,0.07,6,0.22,2,0.06,3,0.26,13,1.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,860,519,535,0.195113056,2511,8,0.002917578,5,0,130,88,37,75,119
26003000300,26003,Michigan,Alger County,0,2990,936,0,847,28.33,0,0,0,0,0,0,10.7,58690,0,0,0,0,0,0,0,0,358,358,NULL,128,128,NULL,2979,99.63,1055,35.29,434,14.52,432,14.45,2279,76.22,596,19.93,9,0.30,0,0.00,52,1.74,43,1.43,31,1.04,59,6.26,100,10.64,2945,98.50,1044,34.90,425,14.20,429,14.34,2248,75.17,596,19.93,9,0.30,0,0.00,52,1.74,41,1.36,31,1.04,58,6.20,98,10.51,358,11.97,128,4.28,64,2.14,90,3.02,349,11.66,0,0.00,1,0.03,0,0.00,3,0.09,6,0.19,1,0.04,12,1.28,18,1.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,684,438,433,0.144816054,2290,596,0.199331104,9,0,52,43,31,48,82
26005030200,26005,Michigan,Allegan County,1,3278,1229,0,0,0.00,0,0,0,0,0,0,3.8,93229,1,1,1,1,1,0,0,0,3111,3278,3111,396,435,396,3278,100.00,435,13.28,799,24.37,450,13.73,3154,96.21,9,0.27,24,0.73,0,0.00,1,0.03,90,2.75,123,3.75,23,1.83,18,1.44,3111,94.92,396,12.08,755,23.04,426,12.98,2995,91.37,9,0.27,23,0.70,0,0.00,1,0.03,84,2.56,115,3.52,19,1.51,17,1.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,430,799,450,0.137278829,3154,9,0.002745577,24,0,1,90,123,25,18
26005030300,26005,Michigan,Allegan County,0,7290,2477,0,7,0.10,0,0,0,0,0,0,3.5,75271,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,7290,100.00,1204,16.52,2209,30.30,686,9.41,7090,97.26,18,0.25,30,0.41,0,0.00,28,0.38,124,1.70,177,2.43,43,1.73,44,1.79,7279,99.85,1203,16.50,2206,30.26,685,9.39,7080,97.12,18,0.25,29,0.40,0,0.00,28,0.38,124,1.70,177,2.43,43,1.73,44,1.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1257,2209,686,0.094101509,7090,18,0.002469136,30,0,28,124,177,46,48
26005030401,26005,Michigan,Allegan County,1,7439,2456,0,5,0.07,0,0,0,0,0,0,5.9,82546,1,1,1,1,1,0,0,0,5147,6945,5147,922,1356,922,6945,93.36,1356,18.22,2078,27.94,578,7.77,6742,90.62,29,0.39,25,0.33,1,0.01,37,0.50,111,1.50,135,1.81,0,0.00,67,2.72,5147,69.19,922,12.40,1552,20.86,439,5.90,5019,67.46,19,0.26,20,0.27,0,0.00,19,0.26,70,0.94,74,0.99,0,0.00,50,2.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1561,2209,611,0.082134696,7215,30,0.0040328,26,1,42,125,154,0,76
26005030402,26005,Michigan,Allegan County,0,4820,1653,0,0,0.00,0,0,0,0,0,0,4.8,80806,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4820,100.00,813,16.87,1441,29.90,447,9.27,4614,95.73,26,0.54,24,0.50,3,0.06,33,0.68,120,2.49,146,3.03,63,3.82,72,4.33,4553,94.45,783,16.24,1375,28.53,407,8.44,4357,90.39,26,0.54,23,0.48,3,0.06,30,0.62,114,2.36,142,2.94,53,3.18,67,4.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,905,1441,447,0.092738589,4614,26,0.005394191,24,3,33,120,146,65,77
26005030500,26005,Michigan,Allegan County,0,7281,2731,0,99,1.36,0,0,0,0,1,0,9.3,66412,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,5926,81.40,1735,23.83,1609,22.10,610,8.37,5667,77.83,16,0.23,28,0.38,0,0.00,57,0.78,158,2.17,149,2.04,174,6.38,233,8.55,4016,55.16,1054,14.48,1065,14.63,398,5.47,3835,52.67,11,0.15,24,0.34,0,0.00,43,0.60,102,1.40,91,1.24,90,3.30,154,5.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2464,1978,784,0.107677517,6948,20,0.002746875,30,1,69,213,214,207,300
26005030600,26005,Michigan,Allegan County,0,4957,1754,0,0,0.00,0,0,0,0,0,0,7.6,69211,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4945,99.76,1343,27.08,1331,26.85,486,9.80,4712,95.06,22,0.44,7,0.14,0,0.00,46,0.93,158,3.19,107,2.16,57,3.26,104,5.93,4814,97.12,1304,26.30,1311,26.45,466,9.40,4582,92.44,22,0.44,7,0.14,0,0.00,46,0.93,157,3.17,105,2.13,56,3.20,101,5.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1361,1333,488,0.098446641,4724,22,0.004438168,7,0,46,158,107,57,107
26005030702,26005,Michigan,Allegan County,0,4763,1714,0,0,0.00,0,0,0,0,0,0,7.2,76120,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4402,92.43,1074,22.55,1201,25.21,425,8.92,4259,89.42,17,0.36,17,0.35,0,0.00,16,0.33,94,1.97,98,2.06,39,2.25,93,5.45,3988,83.73,990,20.79,1095,22.98,385,8.08,3852,80.88,16,0.34,15,0.31,0,0.00,14,0.29,91,1.91,86,1.81,37,2.17,85,4.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1188,1294,465,0.097627546,4602,17,0.003569179,31,0,18,95,108,42,104
26005030703,26005,Michigan,Allegan County,0,2652,923,0,0,0.00,0,0,0,0,0,0,16.6,56250,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2238,84.39,978,36.86,604,22.78,245,9.24,1639,61.80,39,1.47,21,0.80,0,0.00,16,0.60,523,19.71,750,28.27,40,4.32,62,6.74,1875,70.70,834,31.44,489,18.44,204,7.69,1352,50.98,36,1.36,21,0.79,0,0.00,16,0.60,450,16.97,637,24.02,32,3.48,52,5.60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1253,757,268,0.101055807,1944,50,0.018853695,22,0,16,620,898,57,86
26005030704,26005,Michigan,Allegan County,0,4419,1589,0,3,0.07,0,0,0,0,0,0,12.0,67286,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3654,82.70,856,19.37,1068,24.17,359,8.12,3358,75.99,12,0.28,19,0.43,0,0.00,11,0.24,254,5.76,368,8.32,62,3.91,100,6.31,3036,68.70,707,16.00,900,20.36,298,6.75,2808,63.55,6,0.14,17,0.39,0,0.00,8,0.18,196,4.43,269,6.08,50,3.16,81,5.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1250,1329,419,0.094817832,3909,21,0.004752206,19,0,17,453,692,87,133
26005030800,26005,Michigan,Allegan County,0,5101,2434,0,59,1.16,0,0,0,0,0,0,7.8,94750,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4519,88.58,1065,20.89,830,16.27,848,16.63,4333,84.95,20,0.40,23,0.46,0,0.00,24,0.47,118,2.31,207,4.05,73,2.98,111,4.55,3439,67.42,865,16.96,688,13.50,584,11.44,3294,64.58,12,0.23,18,0.35,0,0.00,20,0.38,95,1.87,161,3.15,59,2.44,82,3.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1184,905,1002,0.196432072,4906,22,0.00431288,24,0,24,125,216,86,118
26005030901,26005,Michigan,Allegan County,0,2837,1133,0,6,0.21,0,0,0,0,0,0,11.6,64519,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2837,100.00,964,33.99,658,23.19,475,16.74,2554,90.02,87,3.07,7,0.25,1,0.04,30,1.06,158,5.57,257,9.06,15,1.37,65,5.77,2793,98.44,957,33.73,651,22.94,466,16.41,2513,88.60,86,3.01,7,0.25,1,0.04,29,1.03,157,5.52,255,8.98,15,1.37,64,5.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1005,658,475,0.167430384,2554,87,0.030666197,7,1,30,158,257,18,70
26005030902,26005,Michigan,Allegan County,0,2519,1049,0,10,0.40,0,0,0,0,0,0,6.7,76534,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2519,100.00,574,22.78,532,21.12,425,16.87,2254,89.48,4,0.16,10,0.40,6,0.24,5,0.20,240,9.53,425,16.87,31,2.98,63,6.04,2519,100.00,574,22.78,532,21.12,425,16.87,2254,89.48,4,0.16,10,0.40,6,0.24,5,0.20,240,9.53,425,16.87,31,2.98,63,6.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,562,532,425,0.168717745,2254,4,0.001587932,10,6,5,240,425,34,67
